Total number of shapes is 5000 
Shapes are:
0: Circle, x = 68, y = 41, radius = 200, perimeter = 1256, color = LIGHT_BLUE
117: Circle, x = 153, y = 167, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
118: Circle, x = 45, y = 19, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
119: Circle, x = 71, y = 154, radius = 186, perimeter = 1168.08, color = ORANGE
120: Circle, x = 166, y = 92, radius = 186, perimeter = 1168.08, color = BLUE
121: Circle, x = 75, y = 193, radius = 185, perimeter = 1161.8, color = LIGHT_BLUE
122: Circle, x = 79, y = 153, radius = 185, perimeter = 1161.8, color = VIOLET
123: Circle, x = 46, y = 165, radius = 185, perimeter = 1161.8, color = YELLOW
124: Circle, x = 170, y = 58, radius = 185, perimeter = 1161.8, color = BLUE
125: Circle, x = 144, y = 80, radius = 185, perimeter = 1161.8, color = ORANGE
126: Circle, x = 153, y = 35, radius = 185, perimeter = 1161.8, color = RED
127: Circle, x = 63, y = 129, radius = 185, perimeter = 1161.8, color = BLUE
128: Circle, x = 182, y = 192, radius = 184, perimeter = 1155.52, color = LIGHT_BLUE
129: Circle, x = 167, y = 157, radius = 184, perimeter = 1155.52, color = YELLOW
130: Circle, x = 85, y = 41, radius = 184, perimeter = 1155.52, color = VIOLET
131: Circle, x = 59, y = 48, radius = 184, perimeter = 1155.52, color = RED
132: Circle, x = 196, y = 61, radius = 184, perimeter = 1155.52, color = VIOLET
133: Circle, x = 101, y = 148, radius = 184, perimeter = 1155.52, color = GREEN
134: Circle, x = 99, y = 189, radius = 184, perimeter = 1155.52, color = LIGHT_BLUE
135: Circle, x = 3, y = 100, radius = 184, perimeter = 1155.52, color = ORANGE
136: Circle, x = 88, y = 7, radius = 183, perimeter = 1149.24, color = BLUE
137: Circle, x = 68, y = 175, radius = 183, perimeter = 1149.24, color = BLUE
138: Circle, x = 77, y = 77, radius = 183, perimeter = 1149.24, color = BLUE
139: Circle, x = 133, y = 158, radius = 183, perimeter = 1149.24, color = BLUE
140: Circle, x = 76, y = 191, radius = 183, perimeter = 1149.24, color = BLUE
141: Circle, x = 108, y = 44, radius = 183, perimeter = 1149.24, color = GREEN
142: Circle, x = 135, y = 64, radius = 183, perimeter = 1149.24, color = VIOLET
143: Circle, x = 14, y = 122, radius = 183, perimeter = 1149.24, color = RED
144: Circle, x = 180, y = 81, radius = 183, perimeter = 1149.24, color = RED
145: Circle, x = 131, y = 195, radius = 183, perimeter = 1149.24, color = BLUE
146: Circle, x = 63, y = 59, radius = 182, perimeter = 1142.96, color = VIOLET
147: Circle, x = 8, y = 112, radius = 182, perimeter = 1142.96, color = RED
148: Circle, x = 8, y = 198, radius = 182, perimeter = 1142.96, color = LIGHT_BLUE
149: Circle, x = 200, y = 41, radius = 182, perimeter = 1142.96, color = LIGHT_BLUE
150: Circle, x = 75, y = 99, radius = 182, perimeter = 1142.96, color = BLUE
151: Circle, x = 199, y = 183, radius = 182, perimeter = 1142.96, color = BLUE
152: Circle, x = 102, y = 97, radius = 182, perimeter = 1142.96, color = RED
153: Circle, x = 11, y = 122, radius = 181, perimeter = 1136.68, color = BLUE
154: Circle, x = 120, y = 129, radius = 181, perimeter = 1136.68, color = VIOLET
155: Circle, x = 119, y = 65, radius = 181, perimeter = 1136.68, color = YELLOW
156: Circle, x = 88, y = 147, radius = 181, perimeter = 1136.68, color = YELLOW
157: Circle, x = 138, y = 155, radius = 181, perimeter = 1136.68, color = RED
158: Circle, x = 140, y = 48, radius = 181, perimeter = 1136.68, color = YELLOW
159: Circle, x = 103, y = 5, radius = 181, perimeter = 1136.68, color = GREEN
160: Circle, x = 189, y = 29, radius = 181, perimeter = 1136.68, color = ORANGE
161: Circle, x = 78, y = 134, radius = 181, perimeter = 1136.68, color = YELLOW
162: Circle, x = 120, y = 91, radius = 181, perimeter = 1136.68, color = ORANGE
163: Circle, x = 110, y = 163, radius = 181, perimeter = 1136.68, color = YELLOW
164: Circle, x = 142, y = 118, radius = 180, perimeter = 1130.4, color = BLUE
165: Circle, x = 141, y = 186, radius = 180, perimeter = 1130.4, color = LIGHT_BLUE
166: Circle, x = 67, y = 41, radius = 180, perimeter = 1130.4, color = VIOLET
167: Circle, x = 53, y = 82, radius = 180, perimeter = 1130.4, color = ORANGE
168: Circle, x = 179, y = 146, radius = 180, perimeter = 1130.4, color = GREEN
169: Circle, x = 108, y = 30, radius = 180, perimeter = 1130.4, color = LIGHT_BLUE
170: Circle, x = 53, y = 71, radius = 180, perimeter = 1130.4, color = BLUE
171: Circle, x = 194, y = 116, radius = 180, perimeter = 1130.4, color = GREEN
172: Circle, x = 190, y = 172, radius = 180, perimeter = 1130.4, color = YELLOW
173: Circle, x = 70, y = 85, radius = 180, perimeter = 1130.4, color = LIGHT_BLUE
174: Circle, x = 200, y = 85, radius = 179, perimeter = 1124.12, color = GREEN
175: Circle, x = 83, y = 140, radius = 179, perimeter = 1124.12, color = BLUE
176: Circle, x = 26, y = 81, radius = 179, perimeter = 1124.12, color = ORANGE
177: Circle, x = 160, y = 9, radius = 179, perimeter = 1124.12, color = BLUE
178: Circle, x = 194, y = 72, radius = 179, perimeter = 1124.12, color = GREEN
179: Circle, x = 118, y = 117, radius = 179, perimeter = 1124.12, color = VIOLET
180: Circle, x = 150, y = 176, radius = 179, perimeter = 1124.12, color = ORANGE
181: Circle, x = 28, y = 155, radius = 179, perimeter = 1124.12, color = ORANGE
182: Circle, x = 125, y = 9, radius = 179, perimeter = 1124.12, color = RED
183: Circle, x = 82, y = 15, radius = 178, perimeter = 1117.84, color = RED
184: Circle, x = 20, y = 128, radius = 178, perimeter = 1117.84, color = RED
185: Circle, x = 132, y = 184, radius = 178, perimeter = 1117.84, color = BLUE
186: Circle, x = 111, y = 74, radius = 178, perimeter = 1117.84, color = ORANGE
187: Circle, x = 134, y = 72, radius = 178, perimeter = 1117.84, color = ORANGE
188: Circle, x = 70, y = 188, radius = 178, perimeter = 1117.84, color = LIGHT_BLUE
189: Circle, x = 102, y = 59, radius = 178, perimeter = 1117.84, color = YELLOW
190: Circle, x = 86, y = 101, radius = 178, perimeter = 1117.84, color = YELLOW
191: Circle, x = 6, y = 132, radius = 178, perimeter = 1117.84, color = RED
192: Circle, x = 29, y = 99, radius = 177, perimeter = 1111.56, color = LIGHT_BLUE
193: Circle, x = 85, y = 113, radius = 177, perimeter = 1111.56, color = LIGHT_BLUE
194: Circle, x = 17, y = 77, radius = 177, perimeter = 1111.56, color = VIOLET
195: Circle, x = 167, y = 78, radius = 177, perimeter = 1111.56, color = VIOLET
196: Circle, x = 145, y = 12, radius = 177, perimeter = 1111.56, color = VIOLET
197: Circle, x = 79, y = 110, radius = 177, perimeter = 1111.56, color = GREEN
198: Circle, x = 134, y = 57, radius = 177, perimeter = 1111.56, color = LIGHT_BLUE
199: Circle, x = 195, y = 140, radius = 177, perimeter = 1111.56, color = GREEN
200: Circle, x = 78, y = 73, radius = 177, perimeter = 1111.56, color = RED
201: Circle, x = 74, y = 164, radius = 177, perimeter = 1111.56, color = ORANGE
202: Circle, x = 173, y = 80, radius = 176, perimeter = 1105.28, color = BLUE
203: Circle, x = 88, y = 99, radius = 176, perimeter = 1105.28, color = LIGHT_BLUE
204: Circle, x = 168, y = 144, radius = 176, perimeter = 1105.28, color = LIGHT_BLUE
205: Circle, x = 95, y = 178, radius = 176, perimeter = 1105.28, color = GREEN
206: Circle, x = 162, y = 182, radius = 176, perimeter = 1105.28, color = GREEN
207: Circle, x = 34, y = 37, radius = 176, perimeter = 1105.28, color = BLUE
208: Circle, x = 140, y = 132, radius = 176, perimeter = 1105.28, color = ORANGE
209: Circle, x = 97, y = 89, radius = 176, perimeter = 1105.28, color = BLUE
210: Circle, x = 200, y = 93, radius = 176, perimeter = 1105.28, color = BLUE
211: Circle, x = 71, y = 15, radius = 175, perimeter = 1099, color = ORANGE
212: Circle, x = 93, y = 130, radius = 175, perimeter = 1099, color = ORANGE
213: Circle, x = 98, y = 146, radius = 175, perimeter = 1099, color = LIGHT_BLUE
214: Circle, x = 135, y = 87, radius = 175, perimeter = 1099, color = LIGHT_BLUE
215: Circle, x = 29, y = 80, radius = 175, perimeter = 1099, color = LIGHT_BLUE
216: Circle, x = 69, y = 73, radius = 174, perimeter = 1092.72, color = RED
217: Circle, x = 73, y = 116, radius = 174, perimeter = 1092.72, color = GREEN
218: Circle, x = 27, y = 83, radius = 174, perimeter = 1092.72, color = ORANGE
219: Circle, x = 46, y = 95, radius = 174, perimeter = 1092.72, color = ORANGE
220: Circle, x = 170, y = 74, radius = 174, perimeter = 1092.72, color = YELLOW
221: Circle, x = 176, y = 20, radius = 174, perimeter = 1092.72, color = LIGHT_BLUE
222: Circle, x = 174, y = 23, radius = 174, perimeter = 1092.72, color = RED
223: Circle, x = 141, y = 181, radius = 174, perimeter = 1092.72, color = VIOLET
224: Circle, x = 179, y = 180, radius = 174, perimeter = 1092.72, color = LIGHT_BLUE
225: Circle, x = 200, y = 69, radius = 173, perimeter = 1086.44, color = GREEN
226: Circle, x = 38, y = 171, radius = 173, perimeter = 1086.44, color = GREEN
227: Circle, x = 87, y = 130, radius = 173, perimeter = 1086.44, color = RED
228: Circle, x = 148, y = 165, radius = 173, perimeter = 1086.44, color = ORANGE
229: Circle, x = 146, y = 55, radius = 173, perimeter = 1086.44, color = YELLOW
230: Circle, x = 9, y = 1, radius = 172, perimeter = 1080.16, color = ORANGE
231: Circle, x = 56, y = 6, radius = 172, perimeter = 1080.16, color = RED
232: Circle, x = 65, y = 71, radius = 172, perimeter = 1080.16, color = LIGHT_BLUE
233: Circle, x = 81, y = 181, radius = 172, perimeter = 1080.16, color = VIOLET
234: Circle, x = 139, y = 75, radius = 172, perimeter = 1080.16, color = VIOLET
235: Circle, x = 190, y = 160, radius = 172, perimeter = 1080.16, color = BLUE
236: Circle, x = 97, y = 179, radius = 172, perimeter = 1080.16, color = ORANGE
237: Circle, x = 63, y = 131, radius = 172, perimeter = 1080.16, color = ORANGE
238: Circle, x = 109, y = 140, radius = 172, perimeter = 1080.16, color = RED
239: Circle, x = 126, y = 24, radius = 172, perimeter = 1080.16, color = YELLOW
240: Circle, x = 93, y = 184, radius = 172, perimeter = 1080.16, color = VIOLET
241: Circle, x = 163, y = 9, radius = 171, perimeter = 1073.88, color = YELLOW
242: Circle, x = 51, y = 165, radius = 171, perimeter = 1073.88, color = LIGHT_BLUE
243: Circle, x = 139, y = 154, radius = 171, perimeter = 1073.88, color = GREEN
244: Circle, x = 164, y = 126, radius = 171, perimeter = 1073.88, color = BLUE
245: Circle, x = 19, y = 44, radius = 171, perimeter = 1073.88, color = ORANGE
246: Circle, x = 69, y = 152, radius = 171, perimeter = 1073.88, color = YELLOW
247: Circle, x = 186, y = 146, radius = 171, perimeter = 1073.88, color = ORANGE
248: Circle, x = 93, y = 186, radius = 170, perimeter = 1067.6, color = LIGHT_BLUE
249: Circle, x = 6, y = 52, radius = 170, perimeter = 1067.6, color = ORANGE
250: Circle, x = 19, y = 199, radius = 170, perimeter = 1067.6, color = BLUE
251: Circle, x = 95, y = 184, radius = 170, perimeter = 1067.6, color = BLUE
252: Circle, x = 193, y = 149, radius = 169, perimeter = 1061.32, color = VIOLET
253: Circle, x = 95, y = 178, radius = 169, perimeter = 1061.32, color = RED
254: Circle, x = 91, y = 3, radius = 169, perimeter = 1061.32, color = LIGHT_BLUE
255: Circle, x = 19, y = 5, radius = 169, perimeter = 1061.32, color = ORANGE
256: Circle, x = 33, y = 39, radius = 168, perimeter = 1055.04, color = GREEN
257: Circle, x = 116, y = 117, radius = 168, perimeter = 1055.04, color = RED
258: Circle, x = 23, y = 200, radius = 168, perimeter = 1055.04, color = RED
259: Circle, x = 147, y = 181, radius = 168, perimeter = 1055.04, color = YELLOW
260: Circle, x = 42, y = 89, radius = 168, perimeter = 1055.04, color = BLUE
261: Circle, x = 105, y = 147, radius = 167, perimeter = 1048.76, color = LIGHT_BLUE
262: Circle, x = 52, y = 37, radius = 167, perimeter = 1048.76, color = VIOLET
263: Circle, x = 23, y = 184, radius = 167, perimeter = 1048.76, color = ORANGE
264: Circle, x = 192, y = 195, radius = 167, perimeter = 1048.76, color = YELLOW
265: Circle, x = 147, y = 6, radius = 167, perimeter = 1048.76, color = RED
266: Circle, x = 140, y = 137, radius = 167, perimeter = 1048.76, color = ORANGE
267: Circle, x = 139, y = 167, radius = 167, perimeter = 1048.76, color = LIGHT_BLUE
268: Circle, x = 47, y = 11, radius = 167, perimeter = 1048.76, color = GREEN
269: Circle, x = 75, y = 20, radius = 167, perimeter = 1048.76, color = LIGHT_BLUE
270: Circle, x = 140, y = 57, radius = 167, perimeter = 1048.76, color = GREEN
271: Circle, x = 154, y = 43, radius = 166, perimeter = 1042.48, color = BLUE
272: Circle, x = 91, y = 64, radius = 166, perimeter = 1042.48, color = GREEN
273: Circle, x = 183, y = 92, radius = 166, perimeter = 1042.48, color = BLUE
274: Circle, x = 124, y = 16, radius = 166, perimeter = 1042.48, color = BLUE
275: Circle, x = 40, y = 196, radius = 166, perimeter = 1042.48, color = BLUE
276: Circle, x = 161, y = 120, radius = 166, perimeter = 1042.48, color = GREEN
277: Circle, x = 122, y = 113, radius = 166, perimeter = 1042.48, color = ORANGE
278: Circle, x = 26, y = 5, radius = 165, perimeter = 1036.2, color = BLUE
279: Circle, x = 77, y = 188, radius = 165, perimeter = 1036.2, color = VIOLET
280: Circle, x = 23, y = 166, radius = 165, perimeter = 1036.2, color = LIGHT_BLUE
281: Circle, x = 187, y = 60, radius = 165, perimeter = 1036.2, color = BLUE
282: Circle, x = 122, y = 71, radius = 165, perimeter = 1036.2, color = BLUE
283: Circle, x = 177, y = 18, radius = 165, perimeter = 1036.2, color = GREEN
284: Circle, x = 108, y = 36, radius = 165, perimeter = 1036.2, color = ORANGE
285: Circle, x = 172, y = 83, radius = 165, perimeter = 1036.2, color = YELLOW
286: Circle, x = 84, y = 198, radius = 165, perimeter = 1036.2, color = RED
287: Circle, x = 14, y = 177, radius = 165, perimeter = 1036.2, color = ORANGE
288: Circle, x = 26, y = 36, radius = 164, perimeter = 1029.92, color = GREEN
289: Circle, x = 164, y = 155, radius = 164, perimeter = 1029.92, color = BLUE
290: Circle, x = 187, y = 73, radius = 164, perimeter = 1029.92, color = GREEN
291: Circle, x = 193, y = 117, radius = 164, perimeter = 1029.92, color = LIGHT_BLUE
292: Circle, x = 36, y = 143, radius = 163, perimeter = 1023.64, color = VIOLET
293: Circle, x = 97, y = 118, radius = 163, perimeter = 1023.64, color = BLUE
294: Circle, x = 20, y = 173, radius = 163, perimeter = 1023.64, color = GREEN
295: Circle, x = 144, y = 31, radius = 163, perimeter = 1023.64, color = ORANGE
296: Circle, x = 70, y = 68, radius = 163, perimeter = 1023.64, color = RED
297: Circle, x = 31, y = 54, radius = 163, perimeter = 1023.64, color = VIOLET
298: Circle, x = 123, y = 84, radius = 162, perimeter = 1017.36, color = GREEN
299: Circle, x = 198, y = 149, radius = 162, perimeter = 1017.36, color = RED
300: Circle, x = 72, y = 180, radius = 162, perimeter = 1017.36, color = VIOLET
301: Circle, x = 117, y = 99, radius = 162, perimeter = 1017.36, color = GREEN
302: Circle, x = 72, y = 63, radius = 162, perimeter = 1017.36, color = ORANGE
303: Circle, x = 90, y = 122, radius = 162, perimeter = 1017.36, color = RED
304: Circle, x = 76, y = 84, radius = 162, perimeter = 1017.36, color = GREEN
305: Circle, x = 138, y = 186, radius = 162, perimeter = 1017.36, color = VIOLET
306: Circle, x = 3, y = 107, radius = 162, perimeter = 1017.36, color = ORANGE
307: Circle, x = 50, y = 98, radius = 162, perimeter = 1017.36, color = ORANGE
308: Circle, x = 44, y = 94, radius = 162, perimeter = 1017.36, color = YELLOW
309: Circle, x = 195, y = 55, radius = 162, perimeter = 1017.36, color = VIOLET
310: Circle, x = 109, y = 146, radius = 162, perimeter = 1017.36, color = BLUE
311: Circle, x = 113, y = 165, radius = 162, perimeter = 1017.36, color = VIOLET
312: Circle, x = 47, y = 10, radius = 161, perimeter = 1011.08, color = LIGHT_BLUE
313: Circle, x = 42, y = 6, radius = 161, perimeter = 1011.08, color = RED
314: Circle, x = 11, y = 122, radius = 161, perimeter = 1011.08, color = ORANGE
315: Circle, x = 68, y = 129, radius = 161, perimeter = 1011.08, color = VIOLET
316: Circle, x = 8, y = 124, radius = 161, perimeter = 1011.08, color = YELLOW
317: Circle, x = 109, y = 193, radius = 161, perimeter = 1011.08, color = RED
318: Circle, x = 17, y = 184, radius = 161, perimeter = 1011.08, color = GREEN
319: Circle, x = 176, y = 90, radius = 161, perimeter = 1011.08, color = LIGHT_BLUE
320: Circle, x = 200, y = 163, radius = 161, perimeter = 1011.08, color = RED
321: Circle, x = 161, y = 162, radius = 161, perimeter = 1011.08, color = YELLOW
322: Circle, x = 118, y = 195, radius = 160, perimeter = 1004.8, color = GREEN
323: Circle, x = 21, y = 132, radius = 160, perimeter = 1004.8, color = LIGHT_BLUE
324: Circle, x = 7, y = 166, radius = 160, perimeter = 1004.8, color = RED
325: Circle, x = 28, y = 177, radius = 160, perimeter = 1004.8, color = VIOLET
326: Circle, x = 67, y = 90, radius = 160, perimeter = 1004.8, color = YELLOW
327: Circle, x = 118, y = 103, radius = 160, perimeter = 1004.8, color = LIGHT_BLUE
328: Circle, x = 65, y = 28, radius = 160, perimeter = 1004.8, color = YELLOW
329: Circle, x = 152, y = 33, radius = 160, perimeter = 1004.8, color = YELLOW
330: Circle, x = 188, y = 75, radius = 160, perimeter = 1004.8, color = LIGHT_BLUE
331: Circle, x = 182, y = 67, radius = 160, perimeter = 1004.8, color = GREEN
332: Circle, x = 41, y = 24, radius = 159, perimeter = 998.52, color = BLUE
333: Circle, x = 43, y = 43, radius = 159, perimeter = 998.52, color = ORANGE
334: Circle, x = 100, y = 18, radius = 159, perimeter = 998.52, color = ORANGE
335: Circle, x = 90, y = 22, radius = 159, perimeter = 998.52, color = LIGHT_BLUE
336: Circle, x = 114, y = 77, radius = 159, perimeter = 998.52, color = LIGHT_BLUE
337: Circle, x = 4, y = 38, radius = 159, perimeter = 998.52, color = GREEN
338: Circle, x = 66, y = 100, radius = 159, perimeter = 998.52, color = RED
