Total number of shapes is 10000 
Shapes are:
0: Circle, x = 89, y = 177, radius = 200, perimeter = 1256, color = ORANGE
30: Circle, x = 103, y = 82, radius = 199, perimeter = 1249.72, color = VIOLET
31: Circle, x = 36, y = 186, radius = 199, perimeter = 1249.72, color = GREEN
32: Circle, x = 7, y = 190, radius = 199, perimeter = 1249.72, color = ORANGE
33: Circle, x = 198, y = 63, radius = 199, perimeter = 1249.72, color = GREEN
34: Circle, x = 103, y = 54, radius = 199, perimeter = 1249.72, color = GREEN
35: Circle, x = 47, y = 24, radius = 199, perimeter = 1249.72, color = ORANGE
36: Circle, x = 98, y = 92, radius = 199, perimeter = 1249.72, color = BLUE
37: Circle, x = 179, y = 64, radius = 199, perimeter = 1249.72, color = BLUE
38: Circle, x = 136, y = 109, radius = 199, perimeter = 1249.72, color = YELLOW
39: Circle, x = 71, y = 143, radius = 198, perimeter = 1243.44, color = GREEN
40: Circle, x = 92, y = 131, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
41: Circle, x = 76, y = 136, radius = 198, perimeter = 1243.44, color = BLUE
42: Circle, x = 29, y = 30, radius = 198, perimeter = 1243.44, color = ORANGE
43: Circle, x = 125, y = 135, radius = 198, perimeter = 1243.44, color = RED
44: Circle, x = 145, y = 38, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
45: Circle, x = 92, y = 35, radius = 198, perimeter = 1243.44, color = YELLOW
46: Circle, x = 27, y = 20, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
47: Circle, x = 1, y = 101, radius = 198, perimeter = 1243.44, color = VIOLET
48: Circle, x = 183, y = 179, radius = 198, perimeter = 1243.44, color = RED
49: Circle, x = 122, y = 136, radius = 198, perimeter = 1243.44, color = ORANGE
50: Circle, x = 184, y = 194, radius = 198, perimeter = 1243.44, color = VIOLET
51: Circle, x = 150, y = 57, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
52: Circle, x = 59, y = 181, radius = 198, perimeter = 1243.44, color = BLUE
53: Circle, x = 88, y = 110, radius = 198, perimeter = 1243.44, color = RED
54: Circle, x = 139, y = 164, radius = 198, perimeter = 1243.44, color = BLUE
55: Circle, x = 168, y = 121, radius = 198, perimeter = 1243.44, color = YELLOW
56: Circle, x = 132, y = 108, radius = 198, perimeter = 1243.44, color = YELLOW
57: Circle, x = 72, y = 112, radius = 198, perimeter = 1243.44, color = ORANGE
58: Circle, x = 70, y = 82, radius = 198, perimeter = 1243.44, color = BLUE
59: Circle, x = 173, y = 105, radius = 198, perimeter = 1243.44, color = ORANGE
60: Circle, x = 102, y = 146, radius = 198, perimeter = 1243.44, color = GREEN
61: Circle, x = 171, y = 95, radius = 198, perimeter = 1243.44, color = BLUE
62: Circle, x = 1, y = 187, radius = 198, perimeter = 1243.44, color = YELLOW
63: Circle, x = 128, y = 153, radius = 198, perimeter = 1243.44, color = RED
64: Circle, x = 162, y = 102, radius = 198, perimeter = 1243.44, color = ORANGE
65: Circle, x = 121, y = 110, radius = 198, perimeter = 1243.44, color = ORANGE
66: Circle, x = 101, y = 4, radius = 198, perimeter = 1243.44, color = YELLOW
67: Circle, x = 128, y = 96, radius = 198, perimeter = 1243.44, color = ORANGE
68: Circle, x = 97, y = 6, radius = 197, perimeter = 1237.16, color = VIOLET
69: Circle, x = 153, y = 92, radius = 197, perimeter = 1237.16, color = YELLOW
70: Circle, x = 10, y = 4, radius = 197, perimeter = 1237.16, color = RED
71: Circle, x = 143, y = 199, radius = 197, perimeter = 1237.16, color = BLUE
72: Circle, x = 92, y = 51, radius = 197, perimeter = 1237.16, color = LIGHT_BLUE
73: Circle, x = 112, y = 41, radius = 197, perimeter = 1237.16, color = VIOLET
74: Circle, x = 170, y = 180, radius = 197, perimeter = 1237.16, color = ORANGE
75: Circle, x = 195, y = 102, radius = 197, perimeter = 1237.16, color = BLUE
76: Circle, x = 23, y = 109, radius = 197, perimeter = 1237.16, color = VIOLET
77: Circle, x = 23, y = 55, radius = 197, perimeter = 1237.16, color = VIOLET
78: Circle, x = 105, y = 144, radius = 197, perimeter = 1237.16, color = BLUE
79: Circle, x = 14, y = 62, radius = 197, perimeter = 1237.16, color = BLUE
80: Circle, x = 31, y = 33, radius = 197, perimeter = 1237.16, color = BLUE
81: Circle, x = 138, y = 199, radius = 197, perimeter = 1237.16, color = VIOLET
82: Circle, x = 68, y = 53, radius = 196, perimeter = 1230.88, color = LIGHT_BLUE
83: Circle, x = 121, y = 62, radius = 196, perimeter = 1230.88, color = RED
84: Circle, x = 160, y = 14, radius = 196, perimeter = 1230.88, color = ORANGE
85: Circle, x = 96, y = 6, radius = 196, perimeter = 1230.88, color = YELLOW
86: Circle, x = 174, y = 67, radius = 196, perimeter = 1230.88, color = RED
87: Circle, x = 195, y = 75, radius = 196, perimeter = 1230.88, color = VIOLET
88: Circle, x = 48, y = 149, radius = 196, perimeter = 1230.88, color = YELLOW
89: Circle, x = 190, y = 76, radius = 196, perimeter = 1230.88, color = VIOLET
90: Circle, x = 108, y = 100, radius = 196, perimeter = 1230.88, color = BLUE
91: Circle, x = 12, y = 175, radius = 196, perimeter = 1230.88, color = LIGHT_BLUE
92: Circle, x = 164, y = 50, radius = 196, perimeter = 1230.88, color = BLUE
93: Circle, x = 180, y = 74, radius = 196, perimeter = 1230.88, color = RED
94: Circle, x = 50, y = 173, radius = 196, perimeter = 1230.88, color = VIOLET
95: Circle, x = 1, y = 45, radius = 196, perimeter = 1230.88, color = GREEN
96: Circle, x = 196, y = 179, radius = 196, perimeter = 1230.88, color = LIGHT_BLUE
97: Circle, x = 114, y = 4, radius = 196, perimeter = 1230.88, color = GREEN
98: Circle, x = 149, y = 187, radius = 196, perimeter = 1230.88, color = LIGHT_BLUE
99: Circle, x = 20, y = 78, radius = 196, perimeter = 1230.88, color = VIOLET
100: Circle, x = 97, y = 18, radius = 196, perimeter = 1230.88, color = RED
101: Circle, x = 77, y = 25, radius = 195, perimeter = 1224.6, color = RED
102: Circle, x = 142, y = 88, radius = 195, perimeter = 1224.6, color = VIOLET
103: Circle, x = 167, y = 69, radius = 195, perimeter = 1224.6, color = BLUE
104: Circle, x = 119, y = 80, radius = 195, perimeter = 1224.6, color = VIOLET
105: Circle, x = 107, y = 146, radius = 195, perimeter = 1224.6, color = ORANGE
106: Circle, x = 75, y = 19, radius = 195, perimeter = 1224.6, color = YELLOW
107: Circle, x = 145, y = 174, radius = 195, perimeter = 1224.6, color = VIOLET
108: Circle, x = 48, y = 163, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
109: Circle, x = 30, y = 166, radius = 195, perimeter = 1224.6, color = RED
110: Circle, x = 114, y = 142, radius = 195, perimeter = 1224.6, color = RED
111: Circle, x = 133, y = 151, radius = 195, perimeter = 1224.6, color = YELLOW
112: Circle, x = 173, y = 181, radius = 195, perimeter = 1224.6, color = ORANGE
113: Circle, x = 161, y = 184, radius = 195, perimeter = 1224.6, color = RED
114: Circle, x = 173, y = 163, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
115: Circle, x = 182, y = 144, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
116: Circle, x = 34, y = 108, radius = 195, perimeter = 1224.6, color = VIOLET
117: Circle, x = 103, y = 106, radius = 195, perimeter = 1224.6, color = VIOLET
118: Circle, x = 83, y = 109, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
119: Circle, x = 46, y = 25, radius = 195, perimeter = 1224.6, color = ORANGE
120: Circle, x = 43, y = 169, radius = 194, perimeter = 1218.32, color = BLUE
121: Circle, x = 140, y = 187, radius = 194, perimeter = 1218.32, color = VIOLET
122: Circle, x = 61, y = 146, radius = 194, perimeter = 1218.32, color = GREEN
123: Circle, x = 173, y = 137, radius = 194, perimeter = 1218.32, color = VIOLET
124: Circle, x = 152, y = 95, radius = 194, perimeter = 1218.32, color = RED
125: Circle, x = 13, y = 174, radius = 194, perimeter = 1218.32, color = RED
126: Circle, x = 140, y = 179, radius = 194, perimeter = 1218.32, color = GREEN
127: Circle, x = 62, y = 90, radius = 194, perimeter = 1218.32, color = GREEN
128: Circle, x = 68, y = 100, radius = 194, perimeter = 1218.32, color = BLUE
129: Circle, x = 113, y = 39, radius = 194, perimeter = 1218.32, color = RED
130: Circle, x = 44, y = 179, radius = 194, perimeter = 1218.32, color = RED
131: Circle, x = 10, y = 57, radius = 194, perimeter = 1218.32, color = LIGHT_BLUE
132: Circle, x = 17, y = 104, radius = 194, perimeter = 1218.32, color = YELLOW
133: Circle, x = 48, y = 189, radius = 194, perimeter = 1218.32, color = ORANGE
134: Circle, x = 188, y = 117, radius = 194, perimeter = 1218.32, color = RED
135: Circle, x = 93, y = 186, radius = 194, perimeter = 1218.32, color = YELLOW
136: Circle, x = 119, y = 87, radius = 194, perimeter = 1218.32, color = ORANGE
137: Circle, x = 49, y = 6, radius = 194, perimeter = 1218.32, color = YELLOW
138: Circle, x = 130, y = 145, radius = 194, perimeter = 1218.32, color = RED
139: Circle, x = 144, y = 145, radius = 194, perimeter = 1218.32, color = RED
140: Circle, x = 161, y = 100, radius = 193, perimeter = 1212.04, color = LIGHT_BLUE
141: Circle, x = 116, y = 16, radius = 193, perimeter = 1212.04, color = BLUE
142: Circle, x = 45, y = 168, radius = 193, perimeter = 1212.04, color = RED
143: Circle, x = 14, y = 72, radius = 193, perimeter = 1212.04, color = YELLOW
144: Circle, x = 198, y = 116, radius = 193, perimeter = 1212.04, color = LIGHT_BLUE
145: Circle, x = 61, y = 162, radius = 193, perimeter = 1212.04, color = YELLOW
146: Circle, x = 127, y = 10, radius = 193, perimeter = 1212.04, color = GREEN
147: Circle, x = 169, y = 28, radius = 193, perimeter = 1212.04, color = VIOLET
148: Circle, x = 71, y = 127, radius = 193, perimeter = 1212.04, color = GREEN
149: Circle, x = 22, y = 21, radius = 193, perimeter = 1212.04, color = VIOLET
150: Circle, x = 35, y = 199, radius = 193, perimeter = 1212.04, color = RED
151: Circle, x = 76, y = 6, radius = 193, perimeter = 1212.04, color = ORANGE
152: Circle, x = 33, y = 166, radius = 193, perimeter = 1212.04, color = YELLOW
153: Circle, x = 89, y = 192, radius = 192, perimeter = 1205.76, color = GREEN
154: Circle, x = 183, y = 60, radius = 192, perimeter = 1205.76, color = YELLOW
155: Circle, x = 43, y = 178, radius = 192, perimeter = 1205.76, color = VIOLET
156: Circle, x = 37, y = 118, radius = 192, perimeter = 1205.76, color = LIGHT_BLUE
157: Circle, x = 143, y = 108, radius = 192, perimeter = 1205.76, color = LIGHT_BLUE
158: Circle, x = 166, y = 170, radius = 192, perimeter = 1205.76, color = RED
159: Circle, x = 143, y = 137, radius = 192, perimeter = 1205.76, color = ORANGE
160: Circle, x = 39, y = 164, radius = 192, perimeter = 1205.76, color = ORANGE
161: Circle, x = 143, y = 27, radius = 192, perimeter = 1205.76, color = ORANGE
162: Circle, x = 192, y = 37, radius = 192, perimeter = 1205.76, color = VIOLET
163: Circle, x = 31, y = 102, radius = 192, perimeter = 1205.76, color = RED
164: Circle, x = 64, y = 51, radius = 192, perimeter = 1205.76, color = GREEN
165: Circle, x = 58, y = 127, radius = 192, perimeter = 1205.76, color = VIOLET
166: Circle, x = 92, y = 200, radius = 192, perimeter = 1205.76, color = VIOLET
167: Circle, x = 28, y = 89, radius = 192, perimeter = 1205.76, color = VIOLET
168: Circle, x = 197, y = 1, radius = 192, perimeter = 1205.76, color = BLUE
169: Circle, x = 124, y = 40, radius = 192, perimeter = 1205.76, color = YELLOW
170: Circle, x = 99, y = 139, radius = 192, perimeter = 1205.76, color = VIOLET
171: Circle, x = 153, y = 184, radius = 192, perimeter = 1205.76, color = LIGHT_BLUE
172: Circle, x = 88, y = 106, radius = 192, perimeter = 1205.76, color = VIOLET
173: Circle, x = 75, y = 8, radius = 191, perimeter = 1199.48, color = GREEN
174: Circle, x = 106, y = 178, radius = 191, perimeter = 1199.48, color = YELLOW
175: Circle, x = 178, y = 4, radius = 191, perimeter = 1199.48, color = VIOLET
176: Circle, x = 41, y = 92, radius = 191, perimeter = 1199.48, color = RED
177: Circle, x = 133, y = 176, radius = 191, perimeter = 1199.48, color = YELLOW
178: Circle, x = 129, y = 7, radius = 191, perimeter = 1199.48, color = LIGHT_BLUE
179: Circle, x = 9, y = 99, radius = 191, perimeter = 1199.48, color = YELLOW
180: Circle, x = 40, y = 86, radius = 191, perimeter = 1199.48, color = GREEN
181: Circle, x = 43, y = 159, radius = 191, perimeter = 1199.48, color = GREEN
182: Circle, x = 11, y = 2, radius = 191, perimeter = 1199.48, color = GREEN
183: Circle, x = 4, y = 125, radius = 191, perimeter = 1199.48, color = LIGHT_BLUE
184: Circle, x = 154, y = 109, radius = 191, perimeter = 1199.48, color = LIGHT_BLUE
185: Circle, x = 33, y = 69, radius = 191, perimeter = 1199.48, color = YELLOW
186: Circle, x = 161, y = 84, radius = 191, perimeter = 1199.48, color = YELLOW
187: Circle, x = 121, y = 43, radius = 191, perimeter = 1199.48, color = ORANGE
188: Circle, x = 168, y = 114, radius = 191, perimeter = 1199.48, color = GREEN
189: Circle, x = 78, y = 28, radius = 191, perimeter = 1199.48, color = BLUE
190: Circle, x = 20, y = 134, radius = 191, perimeter = 1199.48, color = LIGHT_BLUE
191: Circle, x = 31, y = 21, radius = 191, perimeter = 1199.48, color = YELLOW
192: Circle, x = 126, y = 63, radius = 191, perimeter = 1199.48, color = RED
193: Circle, x = 168, y = 114, radius = 191, perimeter = 1199.48, color = GREEN
194: Circle, x = 199, y = 152, radius = 191, perimeter = 1199.48, color = YELLOW
195: Circle, x = 67, y = 53, radius = 191, perimeter = 1199.48, color = LIGHT_BLUE
196: Circle, x = 183, y = 69, radius = 190, perimeter = 1193.2, color = RED
197: Circle, x = 41, y = 116, radius = 190, perimeter = 1193.2, color = VIOLET
198: Circle, x = 158, y = 200, radius = 190, perimeter = 1193.2, color = BLUE
199: Circle, x = 173, y = 175, radius = 190, perimeter = 1193.2, color = RED
200: Circle, x = 18, y = 128, radius = 190, perimeter = 1193.2, color = VIOLET
201: Circle, x = 54, y = 176, radius = 190, perimeter = 1193.2, color = LIGHT_BLUE
202: Circle, x = 102, y = 63, radius = 190, perimeter = 1193.2, color = RED
203: Circle, x = 88, y = 98, radius = 190, perimeter = 1193.2, color = LIGHT_BLUE
204: Circle, x = 11, y = 24, radius = 190, perimeter = 1193.2, color = YELLOW
205: Circle, x = 178, y = 64, radius = 190, perimeter = 1193.2, color = ORANGE
206: Circle, x = 170, y = 161, radius = 190, perimeter = 1193.2, color = BLUE
207: Circle, x = 50, y = 35, radius = 190, perimeter = 1193.2, color = VIOLET
208: Circle, x = 101, y = 198, radius = 190, perimeter = 1193.2, color = ORANGE
209: Circle, x = 132, y = 16, radius = 190, perimeter = 1193.2, color = BLUE
210: Circle, x = 173, y = 128, radius = 189, perimeter = 1186.92, color = RED
211: Circle, x = 166, y = 78, radius = 189, perimeter = 1186.92, color = ORANGE
212: Circle, x = 64, y = 164, radius = 189, perimeter = 1186.92, color = VIOLET
213: Circle, x = 27, y = 20, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
214: Circle, x = 131, y = 94, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
215: Circle, x = 69, y = 156, radius = 189, perimeter = 1186.92, color = VIOLET
216: Circle, x = 110, y = 163, radius = 189, perimeter = 1186.92, color = BLUE
217: Circle, x = 20, y = 112, radius = 189, perimeter = 1186.92, color = ORANGE
218: Circle, x = 168, y = 190, radius = 189, perimeter = 1186.92, color = YELLOW
219: Circle, x = 101, y = 27, radius = 189, perimeter = 1186.92, color = ORANGE
220: Circle, x = 108, y = 72, radius = 189, perimeter = 1186.92, color = RED
221: Circle, x = 14, y = 22, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
222: Circle, x = 68, y = 143, radius = 189, perimeter = 1186.92, color = ORANGE
223: Circle, x = 179, y = 79, radius = 189, perimeter = 1186.92, color = YELLOW
224: Circle, x = 32, y = 54, radius = 189, perimeter = 1186.92, color = VIOLET
225: Circle, x = 9, y = 136, radius = 189, perimeter = 1186.92, color = ORANGE
226: Circle, x = 147, y = 131, radius = 188, perimeter = 1180.64, color = VIOLET
227: Circle, x = 103, y = 35, radius = 188, perimeter = 1180.64, color = BLUE
228: Circle, x = 184, y = 129, radius = 188, perimeter = 1180.64, color = ORANGE
229: Circle, x = 36, y = 143, radius = 188, perimeter = 1180.64, color = YELLOW
230: Circle, x = 73, y = 152, radius = 188, perimeter = 1180.64, color = VIOLET
231: Circle, x = 98, y = 57, radius = 188, perimeter = 1180.64, color = GREEN
232: Circle, x = 138, y = 82, radius = 188, perimeter = 1180.64, color = VIOLET
233: Circle, x = 97, y = 48, radius = 188, perimeter = 1180.64, color = LIGHT_BLUE
234: Circle, x = 200, y = 73, radius = 188, perimeter = 1180.64, color = VIOLET
235: Circle, x = 39, y = 52, radius = 188, perimeter = 1180.64, color = VIOLET
236: Circle, x = 117, y = 136, radius = 188, perimeter = 1180.64, color = ORANGE
237: Circle, x = 114, y = 8, radius = 188, perimeter = 1180.64, color = BLUE
238: Circle, x = 97, y = 114, radius = 188, perimeter = 1180.64, color = GREEN
239: Circle, x = 193, y = 136, radius = 188, perimeter = 1180.64, color = BLUE
240: Circle, x = 146, y = 81, radius = 188, perimeter = 1180.64, color = LIGHT_BLUE
241: Circle, x = 140, y = 172, radius = 188, perimeter = 1180.64, color = GREEN
242: Circle, x = 161, y = 19, radius = 187, perimeter = 1174.36, color = RED
243: Circle, x = 161, y = 167, radius = 187, perimeter = 1174.36, color = YELLOW
244: Circle, x = 161, y = 117, radius = 187, perimeter = 1174.36, color = VIOLET
245: Circle, x = 8, y = 170, radius = 187, perimeter = 1174.36, color = ORANGE
246: Circle, x = 25, y = 81, radius = 187, perimeter = 1174.36, color = YELLOW
247: Circle, x = 81, y = 63, radius = 187, perimeter = 1174.36, color = YELLOW
248: Circle, x = 56, y = 127, radius = 187, perimeter = 1174.36, color = ORANGE
249: Circle, x = 172, y = 134, radius = 187, perimeter = 1174.36, color = GREEN
250: Circle, x = 200, y = 164, radius = 187, perimeter = 1174.36, color = VIOLET
251: Circle, x = 56, y = 46, radius = 187, perimeter = 1174.36, color = ORANGE
252: Circle, x = 136, y = 140, radius = 186, perimeter = 1168.08, color = RED
253: Circle, x = 29, y = 159, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
254: Circle, x = 42, y = 23, radius = 186, perimeter = 1168.08, color = GREEN
255: Circle, x = 61, y = 94, radius = 186, perimeter = 1168.08, color = YELLOW
256: Circle, x = 89, y = 113, radius = 186, perimeter = 1168.08, color = GREEN
257: Circle, x = 127, y = 97, radius = 186, perimeter = 1168.08, color = RED
258: Circle, x = 134, y = 16, radius = 186, perimeter = 1168.08, color = YELLOW
259: Circle, x = 158, y = 100, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
260: Circle, x = 16, y = 35, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
261: Circle, x = 11, y = 54, radius = 186, perimeter = 1168.08, color = BLUE
262: Circle, x = 104, y = 71, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
263: Circle, x = 175, y = 118, radius = 186, perimeter = 1168.08, color = YELLOW
264: Circle, x = 103, y = 55, radius = 186, perimeter = 1168.08, color = VIOLET
265: Circle, x = 110, y = 100, radius = 186, perimeter = 1168.08, color = VIOLET
266: Circle, x = 6, y = 103, radius = 186, perimeter = 1168.08, color = LIGHT_BLUE
267: Circle, x = 103, y = 156, radius = 186, perimeter = 1168.08, color = GREEN
268: Circle, x = 10, y = 44, radius = 186, perimeter = 1168.08, color = YELLOW
269: Circle, x = 94, y = 84, radius = 186, perimeter = 1168.08, color = ORANGE
270: Circle, x = 18, y = 182, radius = 185, perimeter = 1161.8, color = RED
271: Circle, x = 57, y = 199, radius = 185, perimeter = 1161.8, color = ORANGE
272: Circle, x = 88, y = 149, radius = 185, perimeter = 1161.8, color = VIOLET
273: Circle, x = 73, y = 104, radius = 185, perimeter = 1161.8, color = BLUE
274: Circle, x = 14, y = 35, radius = 185, perimeter = 1161.8, color = LIGHT_BLUE
275: Circle, x = 71, y = 73, radius = 185, perimeter = 1161.8, color = ORANGE
276: Circle, x = 57, y = 166, radius = 185, perimeter = 1161.8, color = BLUE
277: Circle, x = 168, y = 21, radius = 185, perimeter = 1161.8, color = ORANGE
278: Circle, x = 188, y = 47, radius = 185, perimeter = 1161.8, color = VIOLET
279: Circle, x = 189, y = 52, radius = 185, perimeter = 1161.8, color = BLUE
280: Circle, x = 164, y = 95, radius = 185, perimeter = 1161.8, color = LIGHT_BLUE
281: Circle, x = 37, y = 122, radius = 185, perimeter = 1161.8, color = RED
282: Circle, x = 73, y = 77, radius = 185, perimeter = 1161.8, color = VIOLET
283: Circle, x = 163, y = 46, radius = 184, perimeter = 1155.52, color = YELLOW
284: Circle, x = 93, y = 89, radius = 184, perimeter = 1155.52, color = LIGHT_BLUE
285: Circle, x = 37, y = 119, radius = 184, perimeter = 1155.52, color = BLUE
286: Circle, x = 71, y = 100, radius = 184, perimeter = 1155.52, color = RED
287: Circle, x = 64, y = 158, radius = 184, perimeter = 1155.52, color = LIGHT_BLUE
288: Circle, x = 100, y = 30, radius = 184, perimeter = 1155.52, color = BLUE
289: Circle, x = 152, y = 80, radius = 184, perimeter = 1155.52, color = GREEN
290: Circle, x = 14, y = 3, radius = 184, perimeter = 1155.52, color = BLUE
291: Circle, x = 144, y = 43, radius = 184, perimeter = 1155.52, color = YELLOW
292: Circle, x = 111, y = 80, radius = 184, perimeter = 1155.52, color = RED
293: Circle, x = 181, y = 86, radius = 184, perimeter = 1155.52, color = RED
294: Circle, x = 182, y = 130, radius = 183, perimeter = 1149.24, color = LIGHT_BLUE
295: Circle, x = 23, y = 108, radius = 183, perimeter = 1149.24, color = LIGHT_BLUE
296: Circle, x = 97, y = 157, radius = 183, perimeter = 1149.24, color = ORANGE
297: Circle, x = 120, y = 64, radius = 183, perimeter = 1149.24, color = RED
298: Circle, x = 192, y = 152, radius = 183, perimeter = 1149.24, color = RED
299: Circle, x = 15, y = 67, radius = 183, perimeter = 1149.24, color = ORANGE
300: Circle, x = 117, y = 110, radius = 183, perimeter = 1149.24, color = ORANGE
301: Circle, x = 96, y = 182, radius = 183, perimeter = 1149.24, color = YELLOW
302: Circle, x = 67, y = 128, radius = 183, perimeter = 1149.24, color = YELLOW
303: Circle, x = 40, y = 166, radius = 183, perimeter = 1149.24, color = YELLOW
304: Circle, x = 131, y = 73, radius = 183, perimeter = 1149.24, color = YELLOW
305: Circle, x = 156, y = 198, radius = 183, perimeter = 1149.24, color = YELLOW
306: Circle, x = 179, y = 187, radius = 183, perimeter = 1149.24, color = RED
307: Circle, x = 46, y = 172, radius = 183, perimeter = 1149.24, color = ORANGE
308: Circle, x = 21, y = 40, radius = 183, perimeter = 1149.24, color = RED
309: Circle, x = 157, y = 11, radius = 183, perimeter = 1149.24, color = RED
310: Circle, x = 104, y = 134, radius = 183, perimeter = 1149.24, color = VIOLET
311: Circle, x = 59, y = 183, radius = 183, perimeter = 1149.24, color = ORANGE
312: Circle, x = 146, y = 108, radius = 183, perimeter = 1149.24, color = LIGHT_BLUE
313: Circle, x = 168, y = 86, radius = 183, perimeter = 1149.24, color = YELLOW
314: Circle, x = 175, y = 57, radius = 183, perimeter = 1149.24, color = ORANGE
315: Circle, x = 173, y = 101, radius = 183, perimeter = 1149.24, color = LIGHT_BLUE
316: Circle, x = 37, y = 144, radius = 183, perimeter = 1149.24, color = YELLOW
317: Circle, x = 27, y = 169, radius = 183, perimeter = 1149.24, color = ORANGE
318: Circle, x = 45, y = 111, radius = 183, perimeter = 1149.24, color = VIOLET
319: Circle, x = 6, y = 158, radius = 183, perimeter = 1149.24, color = LIGHT_BLUE
320: Circle, x = 46, y = 179, radius = 183, perimeter = 1149.24, color = YELLOW
321: Circle, x = 157, y = 84, radius = 182, perimeter = 1142.96, color = GREEN
322: Circle, x = 39, y = 118, radius = 182, perimeter = 1142.96, color = LIGHT_BLUE
323: Circle, x = 185, y = 130, radius = 182, perimeter = 1142.96, color = ORANGE
324: Circle, x = 66, y = 104, radius = 182, perimeter = 1142.96, color = GREEN
325: Circle, x = 15, y = 68, radius = 182, perimeter = 1142.96, color = YELLOW
326: Circle, x = 15, y = 146, radius = 182, perimeter = 1142.96, color = ORANGE
327: Circle, x = 151, y = 61, radius = 182, perimeter = 1142.96, color = VIOLET
328: Circle, x = 37, y = 149, radius = 182, perimeter = 1142.96, color = ORANGE
329: Circle, x = 38, y = 77, radius = 182, perimeter = 1142.96, color = YELLOW
330: Circle, x = 25, y = 61, radius = 182, perimeter = 1142.96, color = GREEN
331: Circle, x = 140, y = 2, radius = 182, perimeter = 1142.96, color = ORANGE
332: Circle, x = 113, y = 66, radius = 182, perimeter = 1142.96, color = YELLOW
333: Circle, x = 111, y = 21, radius = 182, perimeter = 1142.96, color = LIGHT_BLUE
334: Circle, x = 9, y = 68, radius = 182, perimeter = 1142.96, color = GREEN
335: Circle, x = 102, y = 87, radius = 182, perimeter = 1142.96, color = LIGHT_BLUE
336: Circle, x = 144, y = 65, radius = 182, perimeter = 1142.96, color = BLUE
337: Circle, x = 66, y = 19, radius = 182, perimeter = 1142.96, color = ORANGE
338: Circle, x = 105, y = 104, radius = 182, perimeter = 1142.96, color = VIOLET
