Total number of shapes is 1000 
Shapes are:
0: Circle, x = 105, y = 198, radius = 200, perimeter = 1256, color = GREEN
219: Triangle, x1 = 165, y1 = 17, x2 = 26, y2 = 199, x3 = 116, y3 = 187, perimeter = 496.726, color = GREEN
220: Circle, x = 131, y = 90, radius = 79, perimeter = 496.12, color = VIOLET
221: Circle, x = 9, y = 169, radius = 79, perimeter = 496.12, color = GREEN
222: Rectangle, x_up_left = 67, y_up_left = 150, x_down_right = 169, y_down_right = 4, perimeter = 496, color = VIOLET
223: Rectangle, x_up_left = 63, y_up_left = 184, x_down_right = 162, y_down_right = 36, perimeter = 494, color = GREEN
224: Triangle, x1 = 169, y1 = 3, x2 = 5, y2 = 185, x3 = 64, y3 = 90, perimeter = 493.18, color = RED
225: Rectangle, x_up_left = 33, y_up_left = 185, x_down_right = 153, y_down_right = 59, perimeter = 492, color = BLUE
226: Circle, x = 58, y = 155, radius = 78, perimeter = 489.84, color = RED
227: Rectangle, x_up_left = 2, y_up_left = 136, x_down_right = 185, y_down_right = 75, perimeter = 488, color = LIGHT_BLUE
228: Triangle, x1 = 75, y1 = 169, x2 = 9, y2 = 49, x3 = 200, y3 = 169, perimeter = 487.521, color = LIGHT_BLUE
229: Triangle, x1 = 154, y1 = 64, x2 = 103, y2 = 191, x3 = 2, y3 = 26, perimeter = 486.994, color = GREEN
230: Rectangle, x_up_left = 42, y_up_left = 125, x_down_right = 177, y_down_right = 17, perimeter = 486, color = VIOLET
231: Rectangle, x_up_left = 78, y_up_left = 183, x_down_right = 178, y_down_right = 40, perimeter = 486, color = ORANGE
232: Rectangle, x_up_left = 51, y_up_left = 150, x_down_right = 157, y_down_right = 13, perimeter = 486, color = RED
233: Rectangle, x_up_left = 18, y_up_left = 200, x_down_right = 194, y_down_right = 133, perimeter = 486, color = RED
234: Rectangle, x_up_left = 20, y_up_left = 149, x_down_right = 167, y_down_right = 53, perimeter = 486, color = GREEN
235: Circle, x = 155, y = 105, radius = 77, perimeter = 483.56, color = LIGHT_BLUE
236: Circle, x = 131, y = 86, radius = 77, perimeter = 483.56, color = GREEN
237: Circle, x = 196, y = 187, radius = 77, perimeter = 483.56, color = YELLOW
238: Circle, x = 169, y = 168, radius = 77, perimeter = 483.56, color = VIOLET
239: Triangle, x1 = 37, y1 = 38, x2 = 188, y2 = 185, x3 = 34, y3 = 5, perimeter = 480.761, color = GREEN
240: Circle, x = 151, y = 42, radius = 76, perimeter = 477.28, color = GREEN
241: Circle, x = 191, y = 138, radius = 76, perimeter = 477.28, color = GREEN
242: Circle, x = 40, y = 89, radius = 76, perimeter = 477.28, color = GREEN
243: Circle, x = 61, y = 166, radius = 76, perimeter = 477.28, color = BLUE
244: Rectangle, x_up_left = 87, y_up_left = 196, x_down_right = 199, y_down_right = 70, perimeter = 476, color = RED
245: Rectangle, x_up_left = 26, y_up_left = 135, x_down_right = 174, y_down_right = 45, perimeter = 476, color = ORANGE
246: Triangle, x1 = 2, y1 = 26, x2 = 125, y2 = 24, x3 = 194, y3 = 135, perimeter = 474.497, color = LIGHT_BLUE
247: Rectangle, x_up_left = 38, y_up_left = 135, x_down_right = 199, y_down_right = 60, perimeter = 472, color = RED
248: Circle, x = 52, y = 109, radius = 75, perimeter = 471, color = VIOLET
249: Circle, x = 54, y = 69, radius = 75, perimeter = 471, color = YELLOW
250: Circle, x = 87, y = 154, radius = 75, perimeter = 471, color = VIOLET
251: Rectangle, x_up_left = 11, y_up_left = 122, x_down_right = 150, y_down_right = 26, perimeter = 470, color = VIOLET
252: Rectangle, x_up_left = 38, y_up_left = 94, x_down_right = 185, y_down_right = 6, perimeter = 470, color = BLUE
253: Rectangle, x_up_left = 26, y_up_left = 171, x_down_right = 113, y_down_right = 23, perimeter = 470, color = ORANGE
254: Rectangle, x_up_left = 43, y_up_left = 146, x_down_right = 166, y_down_right = 35, perimeter = 468, color = BLUE
255: Rectangle, x_up_left = 21, y_up_left = 123, x_down_right = 157, y_down_right = 25, perimeter = 468, color = YELLOW
256: Triangle, x1 = 13, y1 = 145, x2 = 195, y2 = 89, x3 = 149, y3 = 14, perimeter = 467.234, color = LIGHT_BLUE
257: Rectangle, x_up_left = 3, y_up_left = 142, x_down_right = 192, y_down_right = 98, perimeter = 466, color = YELLOW
258: Rectangle, x_up_left = 26, y_up_left = 125, x_down_right = 179, y_down_right = 45, perimeter = 466, color = BLUE
259: Triangle, x1 = 25, y1 = 24, x2 = 104, y2 = 100, x3 = 181, y3 = 196, perimeter = 464.894, color = GREEN
260: Circle, x = 196, y = 148, radius = 74, perimeter = 464.72, color = ORANGE
261: Circle, x = 44, y = 104, radius = 74, perimeter = 464.72, color = GREEN
262: Triangle, x1 = 44, y1 = 125, x2 = 63, y2 = 3, x3 = 179, y3 = 165, perimeter = 463.521, color = GREEN
263: Triangle, x1 = 65, y1 = 16, x2 = 196, y2 = 90, x3 = 75, y3 = 178, perimeter = 462.38, color = ORANGE
264: Rectangle, x_up_left = 20, y_up_left = 180, x_down_right = 78, y_down_right = 7, perimeter = 462, color = BLUE
265: Triangle, x1 = 199, y1 = 180, x2 = 81, y2 = 79, x3 = 7, y3 = 165, perimeter = 461.362, color = VIOLET
266: Rectangle, x_up_left = 21, y_up_left = 107, x_down_right = 197, y_down_right = 53, perimeter = 460, color = RED
267: Rectangle, x_up_left = 67, y_up_left = 165, x_down_right = 200, y_down_right = 68, perimeter = 460, color = YELLOW
268: Triangle, x1 = 21, y1 = 161, x2 = 95, y2 = 21, x3 = 181, y3 = 129, perimeter = 459.581, color = BLUE
269: Circle, x = 189, y = 9, radius = 73, perimeter = 458.44, color = YELLOW
270: Rectangle, x_up_left = 107, y_up_left = 186, x_down_right = 167, y_down_right = 18, perimeter = 456, color = GREEN
271: Rectangle, x_up_left = 107, y_up_left = 197, x_down_right = 139, y_down_right = 2, perimeter = 454, color = VIOLET
272: Triangle, x1 = 10, y1 = 1, x2 = 104, y2 = 87, x3 = 199, y3 = 123, perimeter = 453.953, color = BLUE
273: Triangle, x1 = 35, y1 = 102, x2 = 199, y2 = 72, x3 = 29, y3 = 184, perimeter = 452.519, color = GREEN
274: Circle, x = 172, y = 31, radius = 72, perimeter = 452.16, color = ORANGE
275: Rectangle, x_up_left = 36, y_up_left = 112, x_down_right = 158, y_down_right = 8, perimeter = 452, color = VIOLET
276: Triangle, x1 = 159, y1 = 23, x2 = 17, y2 = 182, x3 = 169, y3 = 72, perimeter = 450.816, color = LIGHT_BLUE
277: Rectangle, x_up_left = 15, y_up_left = 105, x_down_right = 167, y_down_right = 32, perimeter = 450, color = RED
278: Triangle, x1 = 14, y1 = 168, x2 = 150, y2 = 193, x3 = 162, y3 = 64, perimeter = 448.722, color = BLUE
279: Rectangle, x_up_left = 63, y_up_left = 184, x_down_right = 116, y_down_right = 13, perimeter = 448, color = LIGHT_BLUE
280: Triangle, x1 = 67, y1 = 193, x2 = 132, y2 = 120, x3 = 19, y3 = 8, perimeter = 447.971, color = BLUE
281: Circle, x = 69, y = 63, radius = 71, perimeter = 445.88, color = YELLOW
282: Circle, x = 178, y = 30, radius = 71, perimeter = 445.88, color = BLUE
283: Circle, x = 104, y = 112, radius = 71, perimeter = 445.88, color = BLUE
284: Rectangle, x_up_left = 4, y_up_left = 80, x_down_right = 149, y_down_right = 3, perimeter = 444, color = BLUE
285: Rectangle, x_up_left = 1, y_up_left = 197, x_down_right = 33, y_down_right = 9, perimeter = 440, color = RED
286: Rectangle, x_up_left = 40, y_up_left = 154, x_down_right = 169, y_down_right = 64, perimeter = 438, color = YELLOW
287: Triangle, x1 = 56, y1 = 46, x2 = 98, y2 = 153, x3 = 197, y3 = 7, perimeter = 437.642, color = LIGHT_BLUE
288: Rectangle, x_up_left = 77, y_up_left = 163, x_down_right = 135, y_down_right = 3, perimeter = 436, color = RED
289: Triangle, x1 = 130, y1 = 164, x2 = 30, y2 = 168, x3 = 47, y3 = 9, perimeter = 435.81, color = ORANGE
290: Rectangle, x_up_left = 1, y_up_left = 153, x_down_right = 127, y_down_right = 62, perimeter = 434, color = YELLOW
291: Rectangle, x_up_left = 77, y_up_left = 151, x_down_right = 150, y_down_right = 7, perimeter = 434, color = LIGHT_BLUE
292: Circle, x = 153, y = 32, radius = 69, perimeter = 433.32, color = VIOLET
293: Circle, x = 160, y = 197, radius = 69, perimeter = 433.32, color = YELLOW
294: Triangle, x1 = 123, y1 = 10, x2 = 81, y2 = 177, x3 = 192, y3 = 22, perimeter = 432.882, color = ORANGE
295: Triangle, x1 = 199, y1 = 50, x2 = 42, y2 = 5, x3 = 171, y3 = 133, perimeter = 432.645, color = ORANGE
296: Rectangle, x_up_left = 2, y_up_left = 160, x_down_right = 153, y_down_right = 95, perimeter = 432, color = RED
